Update,id,table,field,old_text,new_text
1,1a1b03ba-6cc1-492b-afad-6a53e0fa38fc,verse_life_application,reflection_question,"What visible reminder has God put in your life that you keep overlooking as ordinary, when it might actually be a sign of his faithfulness toward you?","What visible reminder has God put in your life that you keep overlooking as ordinary, when it might actually be a sign of His faithfulness toward you?"
1,5369c372-2cd4-4388-a834-1e36da6e06fb,verse_life_application,reflection_question,Is there a promise God has kept for you that you've quietly tucked away — something you haven't yet named or spoken out loud as evidence of his faithfulness?,Is there a promise God has kept for you that you've quietly tucked away — something you haven't yet named or spoken out loud as evidence of His faithfulness?
1,d8d594d7-41c1-46f3-88f7-ed77f1944acf,verse_life_application,reflection_question,"What ordinary, overlooked thing in your life might God be inviting you to stand upright as a reminder of his faithfulness?","What ordinary, overlooked thing in your life might God be inviting you to stand upright as a reminder of His faithfulness?"
1,76dd26d5-fb45-49db-9df8-1cd361eaae94,verse_life_application,reflection_question,"When you say yes to God — in a prayer, a decision, a promise — what recent evidence of his faithfulness are you actually standing on?","When you say yes to God — in a prayer, a decision, a promise — what recent evidence of His faithfulness are you actually standing on?"
1,ead15956-b15e-449b-b2bb-9551c5016207,verse_life_application,reflection_question,"Where in your life are you experiencing God's law without his mercy, or reaching for his mercy while avoiding the honest witness of where you've fallen short?","Where in your life are you experiencing God's law without His mercy, or reaching for His mercy while avoiding the honest witness of where you've fallen short?"
1,8cf5c712-6779-47d4-b204-38df8cf05769,verse_life_application,reflection_question,"Where in your life have you been treating God's holiness and his mercy as opposites, when they might actually be two shapes beaten from the same gold?","Where in your life have you been treating God's holiness and His mercy as opposites, when they might actually be two shapes beaten from the same gold?"
1,5bb8ab21-1f33-4ca2-b075-790306476ced,verse_life_application,reflection_question,"What would change in how you approach God today if you pictured his mercy not as ignoring your failures, but as deliberately placed over them?","What would change in how you approach God today if you pictured His mercy not as ignoring your failures, but as deliberately placed over them?"
1,661a2ea4-4912-4032-a5d3-bd5e444f8b06,verse_life_application,reflection_question,"When you rehearse your fears instead of your history with God, which specific moment of his faithfulness are you most tempted to wave off as coincidence or luck?","When you rehearse your fears instead of your history with God, which specific moment of His faithfulness are you most tempted to wave off as coincidence or luck?"
1,aecc4e4a-2cd7-4f87-8aeb-455c08e67aa5,verse_life_application,plain_truth,"This verse is part of a larger set of instructions God gave to the priests of Israel about what belonged to them as their share of the people's offerings. The rule here is that every firstborn — the first creature to come from any womb, whether human or animal — belongs to God. But there's a catch built right in: firstborn human babies and firstborn animals that couldn't be offered in sacrifice (like a donkey) had to be ""redeemed."" That means a substitute payment was made so the child or animal could be released rather than literally given over. The firstborn belonged to God, but God, in his mercy, made a way out.","This verse is part of a larger set of instructions God gave to the priests of Israel about what belonged to them as their share of the people's offerings. The rule here is that every firstborn — the first creature to come from any womb, whether human or animal — belongs to God. But there's a catch built right in: firstborn human babies and firstborn animals that couldn't be offered in sacrifice (like a donkey) had to be ""redeemed."" That means a substitute payment was made so the child or animal could be released rather than literally given over. The firstborn belonged to God, but God, in His mercy, made a way out."
1,ff6f583a-4aeb-45c6-96d0-87d514ba1065,verse_life_application,plain_truth,"This short verse is the narrator's summary statement after everything that just happened at the rock — the complaining, Moses striking the rock in anger, the water gushing out anyway. ""Meribah"" literally means *strife* or *quarreling*, and the name sticks to this place as a permanent reminder. The people fought with God. They pushed back, argued, demanded. And yet God still gave them water. The stunning twist in this verse is the ending: God was *sanctified* in the middle of it all — meaning his holiness and faithfulness showed up and shone out, even through a mess of human failure and frustration.","This short verse is the narrator's summary statement after everything that just happened at the rock — the complaining, Moses striking the rock in anger, the water gushing out anyway. ""Meribah"" literally means *strife* or *quarreling*, and the name sticks to this place as a permanent reminder. The people fought with God. They pushed back, argued, demanded. And yet God still gave them water. The stunning twist in this verse is the ending: God was *sanctified* in the middle of it all — meaning His holiness and faithfulness showed up and shone out, even through a mess of human failure and frustration."
